No.,D:名前,表示名,S:生存者,S:フルネーム (あいうえお順),D:Name,S:Name (A-Y),D:生まれ年 (00-10),D:生年月日 (yyyy.mm.dd),S:生年月日 (yyyy.mm.dd),D:身長 (cm),S:身長 (cm),D:出身,S:出身,D:シグナルソングA-F,S:シグナルソングA-F,D:レベル分け評価A-F-候補,S:レベル分け評価A-F-候補,D:レベル分け評価チーム名,S:レベル分け評価チーム名,D:グループ評価チーム班,S:グループ評価チーム班,D:ポジション評価チーム曲,S:ポジション評価チーム曲,D:コンセプト評価チーム曲,S:コンセプト評価チーム曲,D:シグナルソングチッケム再生回数 (2026.05.23),S:シグナルソングチッケム再生回数 (2026.05.23),D:グループ評価チッケム再生回数 (2026.05.23),S:グループ評価チッケム再生回数 (2026.05.23),D:ポジション評価チッケム再生回数 (2026.05.23),S:ポジション評価チッケム再生回数 (2026.05.23),D:コンセプト評価チッケム再生回数 (2026.05.23),S:コンセプト評価チッケム再生回数 (2026.05.23),D:#5順位 (第1回順位発表式),S:#5順位 (第1回順位発表式),D:#8順位 (第2回順位発表式),S:#8順位 (第2回順位発表式),D:#10順位 (第3回順位発表式),S:#10順位 (第3回順位発表式),D:総合pt (第3回順位発表式),D:ベネ無しpt (第3回順位発表式),S:ベネ無し (第3回順位発表式),D:国民投票pt (第3回順位発表式),S:国民投票のみの順位 (第3回順位発表式),D:SEKAI投票pt (第3回順位発表式),S:SEKAI投票のみの順位 (第3回順位発表式),img
25,金安純正,金安純正,44,かねやすじゅんせい,JUNSEI,JUNSEI, (04) ,2004.04.16,2004/04/16,183,183,東京都,13,D,63,(C),44,Log IN!,12,Bite Me 2班,39,BE CLASSIC,30,ー,51,37355,37355,5712,5712,14439,14439,0,0,50位 (7↓),50,44位 (1↓),44,44,44,ー,ー,44,ー,44,ー,44,./img/trainees/imgi_28_kaneyasujunsei.jpg
26,宇野海夢,宇野海夢,45,うのかいむ,KAIMU,KAIMU, (03) ,2003.11.20,2003/11/20,177,177,京都府,26,D,64,(C),45,ダンスファイターズ,315,最高到達点1班,83,My Grandfather's Clock,40,ー,52,63630,63630,10114,10114,34731,34731,0,0,48位 (6↓),48,45位 (3↑),45,45,45,ー,ー,45,ー,45,ー,45,./img/trainees/imgi_29_unokaimu.jpg
47,大瀬凜和,大瀬凜和,46,おおせりんと,RINTO,RINTO, (05) ,2005.03.09,2005/03/09,177,177,熊本県,43,C,38,(A),8,九上昇,151,ラブシカ 1班,67,Super,11,ー,64,85081,85081,9249,9249,23378,23378,0,0,46位 (ー),46,46位 (1↑),46,46,46,ー,ー,46,ー,46,ー,46,./img/trainees/imgi_50_ohserinto.jpg
54,澤井星名,澤井星名,47,さわいせな,SENA,SENA, (06) ,2006.01.14,2006/01/14,180,180,静岡県,22,D,73,(D),75,RE:Shine,33,ラブシカ 2班,75,Super,10,ー,68,80999,80999,9675,9675,17166,17166,0,0,40位 (ー),40,47位 (1↓),47,47,47,ー,ー,47,ー,47,ー,47,./img/trainees/imgi_57_sawaisena.jpg
68,南平達矢,南平達矢,48,みなみひらたつや,TATSUYA,TATSUYA, (04) ,2004.10.27,2004/10/27,180,180,東京都,13,C,50,(C),60,東西南北,52,ラブシカ 2班,73,宿命,17,ー,78,66724,66724,9497,9497,18338,18338,0,0,41位 (6↑),41,48位 (3↓),48,48,48,ー,ー,48,ー,48,ー,48,./img/trainees/imgi_71_minamihiratatsuya.jpg
116,髙橋空良,髙橋空良,49,たかはしそら,T.SORA,SORA, (05) ,2005.05.02,2005/05/02,178,178,福井県,18,F,99,(F),100,WEST KIDS,213,ラブシカ 1班,70,DOMINANCE,5,ー,116,32519,32519,5222,5222,13781,13781,0,0,42位 (3↓),42,49位 (1↑),49,49,49,ー,ー,49,ー,49,ー,49,./img/trainees/imgi_119_takahashisora.jpg
103,森明育,森明育,50,もりめい,MEI,MEI, (05) ,2005.09.10,2005/09/10,177,177,宮城県,04,F,96,(F),96,ミスターズ＆プリンス,243,ラブシカ 2班,76,WORK HARD,45,ー,103,30303,30303,3652,3652,22804,22804,0,0,45位 (4↓),45,50位 (1↓),50,50,50,ー,ー,50,ー,50,ー,50,./img/trainees/imgi_106_morimei.jpg
40,堀野蓮,堀野蓮,51,ほりのれん,H.REN,REN, (07) ,2007.11.21,2007/11/21,171,171,神奈川県,14,C,41,(B),21,蓮蓮蓮,81,LOUD 1班,6,ー,51,ー,60,58973,58973,12542,12542,0,0,0,0,51位 (1↓),51,51位,51,51,51,ー,ー,51,ー,51,ー,51,./img/trainees/imgi_43_horinoren.jpg
22,丸尾尋一郎,丸尾尋一郎,52,まるおじにちろう,JINICHIRO,JINICHIRO, (07) ,2007.06.23,2007/06/23,170,170,大阪府,27,D,62,(C),42,ダンスファイターズ,314,IRIS OUT 2班,26,ー,52,ー,48,46775,46775,31727,31727,0,0,0,0,52位 (9↑),52,52位,52,52,52,ー,ー,52,ー,52,ー,52,./img/trainees/imgi_25_maruojinichiro.jpg
90,平島輝,平島輝,53,ひらしまひかる,H.HIKARU,HIKARU, (09) ,2009.01.27,2009/01/27,171,171,福岡県,40,F,93,(F),89,博多美男,44,LOUD 2班,14,ー,53,ー,94,50510,50510,4487,4487,0,0,0,0,53位 (4↓),53,53位,53,53,53,ー,ー,53,ー,53,ー,53,./img/trainees/imgi_93_hirashimahikaru.jpg
76,ヨハンエマニュエル,ヨハン,54,よはんえまにゅえる,YOHAN,YOHAN, (05) ,2005.08.31,2005/08/31,178,178,マニラ,BB,F,90,(D),81,Arawan,192,唱 1班,43,ー,54,ー,85,21542,21542,2211,2211,0,0,0,0,54位 (16↑),54,54位,54,54,54,ー,ー,54,ー,54,ー,54,./img/trainees/imgi_79_yohanemmanuel.jpg
15,堀尾聖,堀尾聖,55,ほりおひじり,HIJIRI,HIJIRI, (03) ,2003.09.11,2003/09/11,171,171,愛知県,23,B,27,(C),39,Dream Again,63,Energetic 2班,64,ー,55,ー,44,40672,40672,32996,32996,0,0,0,0,55位 (8↑),55,55位,55,55,55,ー,ー,55,ー,55,ー,55,./img/trainees/imgi_18_horiohijiri.jpg
84,本荘晃,本荘晃,56,ほんじょうあきら,AKIRA,AKIRA, (10) ,2010.07.13,2010/07/13,168,168,大阪府,27,B,35,(F),84,22×TEENS,233,唱 2班,53,ー,56,ー,88,25904,25904,6765,6765,0,0,0,0,56位 (4↓),56,56位,56,56,56,ー,ー,56,ー,56,ー,56,./img/trainees/imgi_87_honjoakira.jpg
11,金田栄都,金田栄都,57,かねだえいと,K.EITO,EITO, (04) ,2004.04.10,2004/04/10,179,179,神奈川県,14,D,68,(D),66,K-TRAINEES,362,IRIS OUT 1班,16,ー,57,ー,42,26055,26055,6298,6298,0,0,0,0,57位 (4↓),57,57位,57,57,57,ー,ー,57,ー,57,ー,57,./img/trainees/imgi_14_kanedaeito.jpg
118,岡本拓士,岡本拓士,58,おかもとたくと,O.TAKUTO,TAKUTO, (03) ,2003.11.01,2003/11/01,185,185,大阪府,27,F,101,(F),102,Runway,203,LOUD 2班,8,ー,58,ー,118,56388,56388,2938,2938,0,0,0,0,58位 (7↓),58,58位,58,58,58,ー,ー,58,ー,58,ー,58,./img/trainees/imgi_121_okamototakuto.jpg
36,髙谷京平,髙谷京平,59,たかやきょうへい,KYOHEI,KYOHEI, (05) ,2005.07.17,2005/07/17,171,171,宮城県,04,F,84,(C),50,Spicy兄弟,322,IRIS OUT 2班,23,ー,59,ー,58,55397,55397,43746,43746,0,0,0,0,59位 (27↑),59,59位,59,59,59,ー,ー,59,ー,59,ー,59,./img/trainees/imgi_39_takayakyohei.jpg
56,岩城慎二,岩城慎二,60,いわきしんじ,SHINJI,SHINJI, (03) ,2003.10.23,2003/10/23,180,180,東京都,13,A,10,(B),27,Log IN!,11,IRIS OUT 1班,18,ー,60,ー,69,87774,87774,10173,10173,0,0,0,0,60位 (6↑),60,60位,60,60,60,ー,ー,60,ー,60,ー,60,./img/trainees/imgi_59_iwakishinji.jpg
61,佐藤碧空,佐藤碧空,61,さとうそら,S.SORA,SORA, (03) ,2003.05.16,2003/05/16,170,170,長野県,20,C,54,(D),77,22×TEENS,232,IRIS OUT 2班,22,ー,61,ー,72,38834,38834,23524,23524,0,0,0,0,61位 (21↑),61,61位,61,61,61,ー,ー,61,ー,61,ー,61,./img/trainees/imgi_64_satosora.jpg
12,櫻井楓真,櫻井楓真,62,さくらいふうま,FUMA,FUMA, (06) ,2006.01.05,2006/01/05,179,179,群馬県,10,C,52,(D),67,無限大,144,Energetic 2班,60,ー,62,ー,43,47852,47852,5463,5463,0,0,0,0,62位 (3↓),62,62位,62,62,62,ー,ー,62,ー,62,ー,62,./img/trainees/imgi_15_sakuraifuma.jpg
67,宮里拓利,宮里拓利,63,みやざとたくと,M.TAKUTO,TAKUTO, (05) ,2005.12.09,2005/12/09,174,174,福岡県,40,C,49,(C),59,博多美男,41,唱 2班,51,ー,63,ー,77,39615,39615,6329,6329,0,0,0,0,63位 (32↑),63,63位,63,63,63,ー,ー,63,ー,63,ー,63,./img/trainees/imgi_70_miyazatotakuto.jpg
2,中丸晏寿,中丸晏寿,64,なかまるあじゅ,AJU,AJU, (08) ,2008.01.21,2008/01/21,170,170,広島県,34,B,32,(D),63,無限大,143,IRIS OUT 2班,24,ー,64,ー,36,83584,83584,10174,10174,0,0,0,0,64位 (7↓),64,64位,64,64,64,ー,ー,64,ー,64,ー,64,./img/trainees/imgi_5_nakamaruaju.jpg
43,神元理丘,神元理丘,65,かみもとりく,RIKU,RIKU, (03) ,2003.03.19,2003/03/19,176,176,京都府,26,A,4,(A),7,夢神聖,111,Bite Me 1班,28,ー,65,ー,61,38699,38699,7667,7667,0,0,0,0,65位 (6↑),65,65位,65,65,65,ー,ー,65,ー,65,ー,65,./img/trainees/imgi_46_kamimotoriku.jpg
86,市川大輝,市川大輝,66,いちかわだいき,I.DAIKI,DAIKI, (04) ,2004.12.01,2004/12/01,183,183,愛知県,23,D,77,(F),86,Runway,204,最高到達点2班,84,ー,66,ー,90,36560,36560,7186,7186,0,0,0,0,66位 (4↓),66,66位,66,66,66,ー,ー,66,ー,66,ー,66,./img/trainees/imgi_89_ichikawadaiki.jpg
117,西田颯梓,西田颯梓,67,にしだそうし,SOSHI,SOSHI, (06) ,2006.11.27,2006/11/27,168,168,大阪府,27,F,100,(F),101,Career High,250,唱 2班,50,ー,67,ー,117,38458,38458,4613,4613,0,0,0,0,67位 (2↓),67,67位,67,67,67,ー,ー,67,ー,67,ー,67,./img/trainees/imgi_120_nishidasoshi.jpg
82,佐野由征,佐野由征,68,さのゆうせい,S.YUSEI,YUSEI, (04) ,2004.04.20,2004/04/20,170,170,徳島県,36,C,43,(B),34,WEST KIDS,212,LOUD 2班,10,ー,68,ー,86,38913,38913,3875,3875,0,0,0,0,68位 (13↓),68,68位,68,68,68,ー,ー,68,ー,68,ー,68,./img/trainees/imgi_85_sanoyusei.jpg
97,黒﨑貫汰,黒﨑貫汰,69,くろさきかんた,KANTA,KANTA, (07) ,2007.10.25,2007/10/25,172,172,熊本県,43,D,78,(F),92,九上昇,153,CASE 143 2班,101,ー,69,ー,99,27743,27743,6221,6221,0,0,0,0,69位 (13↓),69,69位,69,69,69,ー,ー,69,ー,69,ー,69,./img/trainees/imgi_100_kurosakikanta.jpg
89,髙城暖人,髙城暖人,70,たかぎはると,HARUTO,HARUTO, (03) ,2003.10.26,2003/10/26,176,176,東京都,13,F,92,(F),88,ミスターズ＆プリンス,242,ラブシカ 2班,72,ー,70,ー,93,20829,20829,2095,2095,0,0,0,0,70位 (10↓),70,70位,70,70,70,ー,ー,70,ー,70,ー,70,./img/trainees/imgi_92_takagiharuto.jpg
53,香月誠太,香月誠太,71,かつきせいた,SEITA,SEITA, (09) ,2009.06.22,2009/06/22,171,171,京都府,26,B,20,(A),11,我的少年時代,351,最高到達点1班,78,ー,71,ー,67,26696,26696,3605,3605,0,0,0,0,71位 (4↓),71,71位,71,71,71,ー,ー,71,ー,71,ー,71,./img/trainees/imgi_56_katsukiseita.jpg
110,水上琉偉,水上琉偉,72,みずがみるい,M.RUI,RUI, (07) ,2007.11.08,2007/11/08,172,172,北海道,01,F,98,(F),98,22×TEENS,234,唱 2班,48,ー,72,ー,110,22288,22288,2662,2662,0,0,0,0,72位 (8↓),72,72位,72,72,72,ー,ー,72,ー,72,ー,72,./img/trainees/imgi_113_mizugamirui.jpg
72,増田倫希,増田倫希,73,ますだともき,TOMOKI,TOMOKI, (08) ,2008.03.26,2008/03/26,182,182,千葉県,12,F,81,(B),30,FRESH-MEN,1,最高到達点2班,85,ー,73,ー,82,35929,35929,5195,5195,0,0,0,0,73位 (7↑),73,73位,73,73,73,ー,ー,73,ー,73,ー,73,./img/trainees/imgi_75_masudatomoki.jpg
74,アギナルドトリスタンジェームス,トリスタン,74,あぎなるどとりすたんじぇいむず,TRISTAN,TRISTAN, (03) ,2003.10.06,2003/10/06,175,175,リパ,BC,F,87,(C),61,3UNITED,381,IRIS OUT 1班,20,ー,74,ー,83,31684,31684,3035,3035,0,0,0,0,74位 (5↓),74,74位,74,74,74,ー,ー,74,ー,74,ー,74,./img/trainees/imgi_77_aguinaldotristanjames.jpg
33,河合晃誠,河合晃誠,75,かわいこうせい,KOSEI,KOSEI, (10) ,2010.06.04,2010/06/04,172,172,愛知県,23,D,70,(D),71,獅子舞,23,Bite Me 2班,38,ー,75,ー,57,22507,22507,3499,3499,0,0,0,0,75位 (12↑),75,75位,75,75,75,ー,ー,75,ー,75,ー,75,./img/trainees/imgi_36_kawaikosei.jpg
16,瑞慶覧太都,瑞慶覧太都,76,ずけらんひろと,HIROTO,HIROTO, (03) ,2003.02.28,2003/02/28,178,178,沖縄県,47,D,58,(B),19,九上昇,152,唱 1班,45,ー,76,ー,45,35746,35746,2577,2577,0,0,0,0,76位 (ー),76,76位,76,76,76,ー,ー,76,ー,76,ー,76,./img/trainees/imgi_19_zukeranhiroto.jpg
18,岡田彪吾,岡田彪吾,77,おかだひゅうご,HYUGO,HYUGO, (08) ,2008.03.29,2008/03/29,179,179,兵庫県,28,A,7,(B),20,ダンスファイターズ,313,CASE 143 1班,90,ー,77,ー,46,86390,86390,49427,49427,0,0,0,0,77位 (2↓),77,77位,77,77,77,ー,ー,77,ー,77,ー,77,./img/trainees/imgi_21_okadahyugo.jpg
71,藤芳辰弥,藤芳辰弥,78,ふじよしときや,TOKIYA,TOKIYA, (07) ,2007.01.31,2007/01/31,168,168,福岡県,40,B,34,(D),80,博多美男,43,IRIS OUT 1班,19,ー,78,ー,81,25881,25881,5437,5437,0,0,0,0,78位 (12↑),78,78位,78,78,78,ー,ー,78,ー,78,ー,78,./img/trainees/imgi_74_fujiyoshitokiya.jpg
38,山根武蔵,山根武蔵,79,やまねむさし,MUSASHI,MUSASHI, (05) ,2005.10.03,2005/10/03,179,179,メルボルン,DA,D,72,(D),74,3UNITED,383,CASE 143 1班,92,ー,79,ー,59,30509,30509,2471,2471,0,0,0,0,79位 (11↓),79,79位,79,79,79,ー,ー,79,ー,79,ー,79,./img/trainees/imgi_41_yamanemusashi.jpg
108,小林蓮翔,小林蓮翔,80,こばやしれんと,K.RENTO,RENTO, (07) ,2007.08.06,2007/08/06,178,178,埼玉県,11,F,97,(F),97,FRESH-MEN,6,CASE 143 1班,94,ー,80,ー,108,15255,15255,4767,4767,0,0,0,0,80位 (22↓),80,80位,80,80,80,ー,ー,80,ー,80,ー,80,./img/trainees/imgi_111_kobayashirento.jpg
3,オムスアンカワーテン,オム,81,おむすわんかわーてん,AOM,AOM, (03) ,2003.12.20,2003/12/20,174,174,バンコク,BA,C,51,(D),64,Arawan,191,唱 2班,49,ー,81,ー,37,24041,24041,1747,1747,0,0,0,0,81位 (9↓),81,81位,81,81,81,ー,ー,81,ー,81,ー,81,./img/trainees/imgi_6_aomsuungkavathin.jpg
70,北林天虎,北林天虎,82,きたばやしてとら,TETORA,TETORA, (03) ,2003.06.11,2003/06/11,172,172,秋田県,05,D,75,(D),79,東西南北,54,ラブシカ 2班,77,ー,82,ー,80,26545,26545,2586,2586,0,0,0,0,82位 (12↑),82,82位,82,82,82,ー,ー,82,ー,82,ー,82,./img/trainees/imgi_73_kitabayashitetora.jpg
62,東野蒼汰,東野蒼汰,83,とうのそうた,SOTA,SOTA, (08) ,2008.12.15,2008/12/15,179,179,奈良県,29,B,30,(C),56,東西南北,51,CASE 143 2班,96,ー,83,ー,73,28939,28939,4112,4112,0,0,0,0,83位 (2↑),83,83位,83,83,83,ー,ー,83,ー,83,ー,83,./img/trainees/imgi_65_tonosota.jpg
115,松田颯吾,松田颯吾,84,まつだそうご,SOGO,SOGO, (05) ,2005.11.11,2005/11/11,177,177,神奈川県,14,C,57,(F),99,楽,343,IRIS OUT 1班,15,ー,84,ー,115,13960,13960,2546,2546,0,0,0,0,84位 (3↓),84,84位,84,84,84,ー,ー,84,ー,84,ー,84,./img/trainees/imgi_118_matsudasogo.jpg
27,多比奏聖,多比奏聖,85,たびかなで,KANADE,KANADE, (07) ,2007.12.05,2007/12/05,173,173,神奈川県,14,B,18,(A),4,EAST FIVE,121,ラブシカ 1班,71,ー,85,ー,53,27589,27589,2381,2381,0,0,0,0,85位 (8↑),85,85位,85,85,85,ー,ー,85,ー,85,ー,85,./img/trainees/imgi_30_tabikanade.jpg
57,宮崎真佑,宮崎真佑,86,みやざきしんすけ,SHINSUKE,SHINSUKE, (07) ,2007.05.19,2007/05/19,179,179,岐阜県,21,D,60,(B),28,Hi teens!,260,LOUD 2班,12,ー,86,ー,70,34324,34324,3594,3594,0,0,0,0,86位 (9↓),86,86位,86,86,86,ー,ー,86,ー,86,ー,86,./img/trainees/imgi_60_miyazakishinsuke.jpg
88,村松遼空,村松遼空,87,むらまつはるく,HARUKU,HARUKU, (10) ,2010.06.01,2010/06/01,166,166,埼玉県,11,F,91,(F),87,22×TEENS,235,LOUD 2班,11,ー,87,ー,92,15167,15167,1691,1691,0,0,0,0,87位 (9↓),87,87位,87,87,87,ー,ー,87,ー,87,ー,87,./img/trainees/imgi_91_muramatsuharuku.jpg
98,黄敬眞,黄敬眞,88,こうけいしん,KEISHIN,KEISHIN, (04) ,2004.03.16,2004/03/16,178,178,神奈川県,14,F,95,(F),93,EAST FIVE,130,LOUD 2班,9,ー,88,ー,100,14721,14721,1611,1611,0,0,0,0,88位 (14↓),88,88位,88,88,88,ー,ー,88,ー,88,ー,88,./img/trainees/imgi_101_kokeishin.jpg
9,末川瑛太,末川瑛太,89,すえかわえいた,EITA,EITA, (07) ,2007.06.25,2007/06/25,174,174,沖縄県,47,C,44,(C),37,無限大,141,LOUD 2班,13,ー,89,ー,40,55512,55512,3085,3085,0,0,0,0,89位 (10↓),89,89位,89,89,89,ー,ー,89,ー,89,ー,89,./img/trainees/imgi_12_suekawaeita.jpg
65,金倉拓未,金倉拓未,90,かなくらたくみ,TAKUMI,TAKUMI, (07) ,2007.07.07,2007/07/07,175,175,北海道,01,B,31,(C),58,ポトフはいかがですか？,71,CASE 143 2班,97,ー,90,ー,76,41339,41339,5362,5362,0,0,0,0,90位 (2↑),90,90位,90,90,90,ー,ー,90,ー,90,ー,90,./img/trainees/imgi_68_kanakuratakumi.jpg
51,岡戸竜芽,岡戸竜芽,91,おかどりゅうが,RYUGA,RYUGA, (06) ,2006.04.02,2006/04/02,171,171,埼玉県,11,C,39,(A),9,ダンスファイターズ,311,最高到達点1班,82,ー,91,ー,66,29560,29560,5455,5455,0,0,0,0,91位 (7↓),91,91位,91,91,91,ー,ー,91,ー,91,ー,91,./img/trainees/imgi_54_okadoryuga.jpg
32,西山賢人,西山賢人,92,にしやまけんと,KENTO,KENTO, (07) ,2007.01.29,2007/01/29,169,169,東京都,13,D,65,(C),48,東西南北,53,唱 2班,47,ー,92,ー,56,24218,24218,2140,2140,0,0,0,0,92位 (7↑),92,92位,92,92,92,ー,ー,92,ー,92,ー,92,./img/trainees/imgi_35_nishiyamakento.jpg
24,シンジョンウク,ジョンウク,93,しんじょんぐく,JUNGUK,JUNGUK, (07) ,2007.02.23,2007/02/23,177,177,トロント,CB,C,46,(C),43,ソウルメイト,161,唱 1班,42,ー,93,ー,50,15461,15461,1585,1585,0,0,0,0,93位 (8↑),93,93位,93,93,93,ー,ー,93,ー,93,ー,93,./img/trainees/imgi_27_shinjunguk.jpg
29,関敬次郎,関敬次郎,94,せきけいじろう,KEIJIRO,KEIJIRO, (09) ,2009.02.23,2009/02/23,176,176,愛知県,23,B,29,(C),46,Dream Again,62,最高到達点1班,80,ー,94,ー,54,29643,29643,2867,2867,0,0,0,0,94位 (4↑),94,94位,94,94,94,ー,ー,94,ー,94,ー,94,./img/trainees/imgi_32_sekikeijiro.jpg
85,児島歩夢,児島歩夢,94,こじまあゆむ,K.AYUMU,AYUMU, (01) ,2001.07.18,2001/07/18,177,177,埼玉県,11,B,36,(F),85,夢神聖,112,最高到達点1班,81,ー,94,ー,89,19148,19148,5453,5453,0,0,0,0,94位 (11↓),94,94位,94,94,94,ー,ー,94,ー,94,ー,94,./img/trainees/imgi_88_kojimaayumu.jpg
69,森井輝,森井輝,96,もりいてる,TERU,TERU, (03) ,2003.10.27,2003/10/27,171,171,神奈川県,14,C,40,(A),13,ダンスファイターズ,312,CASE 143 1班,91,ー,96,ー,79,34128,34128,5771,5771,0,0,0,0,96位 (7↓),96,96位,96,96,96,ー,ー,96,ー,96,ー,96,./img/trainees/imgi_72_moriiteru.jpg
44,鳩場陸人,鳩場陸人,97,はとばりくと,H.RIKUTO,RIKUTO, (09) ,2009.08.31,2009/08/31,182,182,滋賀県,25,B,24,(B),22,Hi teens!,260,CASE 143 2班,100,ー,97,ー,62,25054,25054,3080,3080,0,0,0,0,97位 (9↓),97,97位,97,97,97,ー,ー,97,ー,97,ー,97,./img/trainees/imgi_47_hatobarikuto.jpg
46,甲斐陸也,甲斐陸也,98,かいりくや,RIKUYA,RIKUYA, (08) ,2008.05.27,2008/05/27,172,172,東京都,13,C,42,(B),24,獅子舞,21,CASE 143 1班,95,ー,98,ー,63,39884,39884,2724,2724,0,0,0,0,98位 (1↓),98,98位,98,98,98,ー,ー,98,ー,98,ー,98,./img/trainees/imgi_49_kairikuya.jpg
23,河邊晟,河邊晟,99,かわべじょう,JOE,JOE, (07) ,2007.02.27,2007/02/27,177,177,東京都,13,D,69,(D),69,EAST FIVE,122,ラブシカ 1班,69,ー,99,ー,49,19082,19082,1996,1996,0,0,0,0,99位 (8↓),99,99位,99,99,99,ー,ー,99,ー,99,ー,99,./img/trainees/imgi_26_kawabejoe.jpg
30,髙松敬祐,髙松敬祐,100,たかまつけいすけ,KEISUKE,KEISUKE, (08) ,2008.11.08,2008/11/08,174,174,岐阜県,21,F,83,(C),47,BUZZ UP!,173,CASE 143 2班,98,ー,100,ー,55,25376,25376,4255,4255,0,0,0,0,100位 (4↓),100,100位,100,100,100,ー,ー,100,ー,100,ー,100,./img/trainees/imgi_33_takamatsukeisuke.jpg
48,上野琉偉,上野琉偉,101,うえのるい,U.RUI,RUI, (06) ,2006.04.22,2006/04/22,174,174,福岡県,40,C,47,(C),53,博多美男,42,CASE 143 1班,93,ー,101,ー,65,50903,50903,2772,2772,0,0,0,0,101位 (1↓),101,101位,101,101,101,ー,ー,101,ー,101,ー,101,./img/trainees/imgi_51_uenorui.jpg
87,川村珀斗,川村珀斗,102,かわむらはくと,HAKUTO,HAKUTO, (07) ,2007.06.06,2007/06/06,176,176,長崎県,42,ー,102,候補,103,九上昇,154,ー,102,ー,102,ー,91,0,0,0,0,0,0,0,0,ー,102,ー,102,ー,102,ー,ー,102,ー,102,ー,102,./img/trainees/imgi_90_kawamurahakuto.jpg
92,佐川太一,佐川太一,103,さがわひろかず,HIROKAZU,HIROKAZU, (05) ,2005.09.07,2005/09/07,172,172,北海道,01,ー,103,候補,105,ポトフはいかがですか？,75,ー,103,ー,103,ー,96,0,0,0,0,0,0,0,0,ー,103,ー,103,ー,103,ー,ー,103,ー,103,ー,103,./img/trainees/imgi_95_sagawahirokazu.jpg
94,阿部樹,阿部樹,104,あべいつき,ITSUKI,ITSUKI, (08) ,2008.09.21,2008/09/21,175,175,北海道,01,ー,104,候補,106,ポトフはいかがですか？,72,ー,104,ー,104,ー,97,0,0,0,0,0,0,0,0,ー,104,ー,104,ー,104,ー,ー,104,ー,104,ー,104,./img/trainees/imgi_97_abeitsuki.jpg
95,イジュンフン,イジュンフン,105,いじゅんふん,JOONGHOON,JOONGHOON, (09) ,2009.11.14,2009/11/14,181,181,ソウル,AD,ー,105,候補,107,ソウルメイト,163,ー,105,ー,105,ー,98,0,0,0,0,0,0,0,0,ー,105,ー,105,ー,105,ー,ー,105,ー,105,ー,105,./img/trainees/imgi_98_leejoonghoon.jpg
100,小澤昂心,小澤昂心,106,おざわこうしん,KOSHIN,KOSHIN, (04) ,2004.08.15,2004/08/15,176,176,埼玉県,11,ー,106,候補,108,EAST FIVE,130,ー,106,ー,106,ー,101,0,0,0,0,0,0,0,0,ー,106,ー,106,ー,106,ー,ー,106,ー,106,ー,106,./img/trainees/imgi_103_ozawakoshin.jpg
102,小林廣,小林廣,107,こばやしこう,KOU,KOU, (06) ,2006.06.07,2006/06/07,180,180,大阪府,27,ー,107,候補,109,BUZZ UP!,174,ー,107,ー,107,ー,102,0,0,0,0,0,0,0,0,ー,107,ー,107,ー,107,ー,ー,107,ー,107,ー,107,./img/trainees/imgi_105_kobayashikou.jpg
104,マイケルミンマカフリ,マイケル,108,まいけるみんまかふり,MICHAEL MINH,MICHAEL MINH, (06) ,2006.08.05,2006/08/05,187,187,LA,CA,ー,108,候補,110,Angels,223,ー,108,ー,108,ー,104,0,0,0,0,0,0,0,0,ー,108,ー,108,ー,108,ー,ー,108,ー,108,ー,108,./img/trainees/imgi_107_michaelminhmccaffrey.jpg
105,パトリックファンレ,パトリック,109,ぱとりっくふぁんれ,PATRICK,PATRICK, (06) ,2006.03.13,2006/03/13,182,182,LA,CA,ー,109,候補,111,Angels,222,ー,109,ー,109,ー,105,0,0,0,0,0,0,0,0,ー,109,ー,109,ー,109,ー,ー,109,ー,109,ー,109,./img/trainees/imgi_108_patrickphanle.jpg
106,笠原蓮,笠原蓮,110,かさはられん,KA.REN,REN, (04) ,2004.05.26,2004/05/26,170,170,群馬県,10,ー,110,候補,112,蓮蓮蓮,83,ー,110,ー,110,ー,106,0,0,0,0,0,0,0,0,ー,110,ー,110,ー,110,ー,ー,110,ー,110,ー,110,./img/trainees/imgi_109_kasahararen.jpg
107,江口蓮翔,江口蓮翔,111,えぐちれんと,E.RENTO,RENTO, (06) ,2006.11.25,2006/11/25,168,168,東京都,13,ー,111,候補,113,Log IN!,15,ー,111,ー,111,ー,107,0,0,0,0,0,0,0,0,ー,111,ー,111,ー,111,ー,ー,111,ー,111,ー,111,./img/trainees/imgi_110_eguchirento.jpg
109,落合利温,落合利温,112,おちあいりお,RIO,RIO, (04) ,2004.04.21,2004/04/21,174,174,熊本県,43,ー,112,候補,114,Career High,250,ー,112,ー,112,ー,109,0,0,0,0,0,0,0,0,ー,112,ー,112,ー,112,ー,ー,112,ー,112,ー,112,./img/trainees/imgi_112_ochiairio.jpg
111,小谷内瑠嘉,小谷内瑠嘉,113,こやうちるか,RUKA,RUKA, (05) ,2005.06.10,2005/06/10,174,174,東京都,13,ー,113,候補,115,獅子舞,24,ー,113,ー,113,ー,111,0,0,0,0,0,0,0,0,ー,113,ー,113,ー,113,ー,ー,113,ー,113,ー,113,./img/trainees/imgi_114_koyauchiruka.jpg
