No.,D:名前,表示名,S:生存者,S:フルネーム (あいうえお順),D:Name,S:Name (A-Y),D:生まれ年 (00-10),D:生年月日 (yyyy.mm.dd),S:生年月日 (yyyy.mm.dd),D:身長 (cm),S:身長 (cm),D:出身,S:出身,D:シグナルソングA-F,S:シグナルソングA-F,D:レベル分け評価A-F-候補,S:レベル分け評価A-F-候補,D:レベル分け評価チーム名,S:レベル分け評価チーム名,D:グループ評価チーム班,S:グループ評価チーム班,D:ポジション評価チーム曲,S:ポジション評価チーム曲,D:コンセプト評価チーム曲,S:コンセプト評価チーム曲,D:シグナルソングチッケム再生回数 (2026.05.23),S:シグナルソングチッケム再生回数 (2026.05.23),D:グループ評価チッケム再生回数 (2026.05.23),S:グループ評価チッケム再生回数 (2026.05.23),D:ポジション評価チッケム再生回数 (2026.05.23),S:ポジション評価チッケム再生回数 (2026.05.23),D:コンセプト評価チッケム再生回数 (2026.05.23),S:コンセプト評価チッケム再生回数 (2026.05.23),D:#5順位 (第1回順位発表式),S:#5順位 (第1回順位発表式),D:#8順位 (第2回順位発表式),S:#8順位 (第2回順位発表式),D:#10順位 (第3回順位発表式),S:#10順位 (第3回順位発表式),D:総合pt (第3回順位発表式),D:ベネ無しpt (第3回順位発表式),S:ベネ無し (第3回順位発表式),D:国民投票pt (第3回順位発表式),S:国民投票のみの順位 (第3回順位発表式),D:SEKAI投票pt (第3回順位発表式),S:SEKAI投票のみの順位 (第3回順位発表式),img
52,杉山竜司,杉山竜司,〇,すぎやまりゅうじ,RYUJI,RYUJI, (06) ,2006.07.07,2006/07/07,182,182,埼玉県,11,B,19,(A),10,Runway,202,Energetic 2班,61,DOMINANCE,1,KICK,14,143228,143228,82281,82281,50450,50450,33197,33197,23位 (2↑),23,10位 (1↑),10,12位 (2↓),12,194003,"193,994",12,143840,9,50154,12,./img/trainees/imgi_55_sugiyamaryuji.jpg
39,土田央修,土田央修,〇,つちだおうすけ,OSUKE,OSUKE, (03) ,2003.05.15,2003/05/15,164,164,愛知県,23,A,3,(A),6,22×TEENS,231,Energetic 2班,62,Doctor! Doctor!,35,Neko,26,356661,356661,69748,69748,125210,125210,89588,89588,13位 (1↑),13,12位 (2↓),12,13位 (1↓),13,185153,"185,132",13,138751,10,46381,14,./img/trainees/imgi_42_tsuchidaosuke.jpg
73,濱田永遠,濱田永遠,〇,はまだとわ,TOWA,TOWA, (07) ,2007.06.05,2007/06/05,175,175,兵庫県,28,B,25,(B),31,Hi teens!,260,CASE 143 2班,99,WORK HARD,42,Fuego,18,162951,162951,56030,56030,131280,131280,46337,46337,15位 (1↑),15,14位 (1↓),14,14位 (ー),14,182709,"182,702",14,136405,12,46296,15,./img/trainees/imgi_76_hamadatowa.jpg
31,小野慶人,小野慶人,〇,おのけいと,KEITO,KEITO, (00) ,2000.07.25,2000/07/25,172,172,高知県,39,C,53,(D),70,楽,341,最高到達点2班,89,宿命,14,DREAMER,1,359618,359618,50402,50402,62924,62924,29365,29365,16位 (1↓),16,18位 (1↓),18,15位 (3↑),15,171563,"171,552",15,126472,16,45080,17,./img/trainees/imgi_34_onokeito.jpg
101,青沼昂史朗,青沼昂史朗,〇,あおぬまこうしろう,KOSHIRO,KOSHIRO, (06) ,2006.02.20,2006/02/20,179,179,北海道,01,D,79,(F),95,Log IN!,14,最高到達点2班,87,Super,8,DREAMER,6,64481,64481,21878,21878,32877,32877,13897,13897,26位 (1↑),26,19位 (ー),19,16位 (3↑),16,162917,"162,900",16,71328,20,91572,3,./img/trainees/imgi_104_aonumakoshiro.jpg
79,岡田侑磨,岡田侑磨,〇,おかだゆうま,YUMA,YUMA, (06) ,2006.03.15,2006/03/15,177,177,埼玉県,11,D,76,(D),83,FRESH-MEN,5,Bite Me 1班,33,BE CLASSIC,29,BLACK ANGEL,34,110407,110407,23664,23664,77673,77673,30200,30200,39位 (9↑),39,32位 (ー),32,17位 (15↑),17,158771,"148,760",20,129567,15,19192,21,./img/trainees/imgi_82_okadayuma.jpg
6,小林千悟,小林千悟,〇,こばやしちさと,CHISATO,CHISATO, (04) ,2004.02.03,2004/02/03,173,173,東京都,13,B,23,(B),16,獅子舞,22,LOUD 1班,2,Natural,21,KICK,9,240271,240271,21366,21366,37054,37054,12521,12521,27位 (4↓),27,26位 (ー),26,18位 (8↑),18,156082,"156,077",17,35536,22,120540,2,./img/trainees/imgi_9_kobayashichisato.jpg
1,アダムナガイ,アダムナガイ,〇,あだむながい,ADAM,ADAM, (07) ,2007.04.19,2007/04/19,172,172,ホノルル,CC,A,1,(A),1,Atlantic Boys,101,Bite Me 1班,32,My Grandfather's Clock,36,DREAMER,2,102814,102814,16076,16076,219977,219977,21591,21591,10位 (3↓),10,21位 (1↑),21,19位 (2↑),19,153301,"153,297",18,108155,18,45142,16,./img/trainees/imgi_4_adamnagai.jpg
14,倉橋吾槙,倉橋吾槙,〇,くらはしごてん,GOTEN,GOTEN, (04) ,2004.11.05,2004/11/05,172,172,愛知県,23,F,80,(B),18,BUZZ UP!,172,IRIS OUT 2班,25,BE CLASSIC,25,KICK,10,330774,330774,75620,75620,91174,91174,29747,29747,11位 (2↑),11,28位 (8↓),28,20位 (8↑),20,151576,"151,561",19,134151,13,17409,22,./img/trainees/imgi_17_kurahashigoten.jpg
17,ユヒョンスン,ユヒョンスン,〇,ゆひょんすん,HYEONSEUNG,HYEONSEUNG, (04) ,2004.01.13,2004/01/13,177,177,ソウル,AD,A,2,(A),3,たなぼた,272,IRIS OUT 1班,17,Super,7,Fuego,15,133412,133412,39411,39411,54219,54219,22642,22642,8位 (2↑),8,9位 (1↓),9,21位 (12↓),21,"147,098","147,091",21,75317,19,71773,8,./img/trainees/imgi_20_yoohyeonseung.jpg
